Zone (string),Apartment_Type (string),Floor Height (m),L(a)eq (dB),Day/Night(string),Total Surface (sqm),Element: Materials (string),Absorption Coefficient by Area (m),RT60 (s),n. of sound sources (int),Average Sound Source distance (m),SPL (dB),Barrier distance (m),Barrier Height (m),SPL after barrier (dB),SPL after façade dampening (dB),Comfort index (float)
HD-Urban-V1,3Bed,3,20.93,night,162,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.489,0.778823,4,11.044885,6.527961,1.36,4.8,1.68211,-11.231062,0.276471
Roadside-V3,1Bed,6,61.05,day,90,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.262,1.05253,1,20.15388,34.96698,1.36,4.8,30.143778,19.937704,0.398754
HD-Urban-V1,3Bed,6,19.92,night,162,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.836,0.689344,4,10.348428,6.206918,1.36,4.8,1.429464,-6.989573,0.388321
Roadside-V1,1Bed,3,39.94,night,90,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.653,0.383879,2,21.530834,16.606751,1.36,4.8,12.110275,4.541587,0.32068
HD-Urban-V0,2Bed,6,24.44,night,126,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.291,0.715821,3,12.285774,8.21269,1.36,4.8,4.576271,0.189448,0.359013
HD-Urban-V1,3Bed,3,20.93,night,162,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.489,0.778823,4,11.227201,6.442675,1.52,2.2,1.670741,-11.288872,0.276471
Roadside-V3,1Bed,6,61.05,day,90,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.262,1.05253,1,20.339589,34.887387,1.52,2.2,30.124334,19.918798,0.398376
HD-Urban-V1,3Bed,6,19.92,night,162,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.836,0.689344,4,10.485111,6.176552,1.52,0.0,6.176552,-2.238083,0.388321
Roadside-V1,1Bed,3,39.94,night,90,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.653,0.383879,2,21.72634,16.529678,1.52,2.2,12.118141,4.545515,0.320759
HD-Urban-V0,2Bed,6,24.44,night,126,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.291,0.715821,3,12.443702,8.118033,1.52,0.0,8.118033,0.533718,0.365899
HD-Urban-V1,3Bed,3,20.93,night,162,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.489,0.778823,4,11.410129,6.359854,1.68,0.0,6.359854,-6.646786,0.276471
Roadside-V3,1Bed,6,61.05,day,90,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.262,1.05253,1,20.525567,34.808405,1.68,0.0,34.808405,24.522654,0.490453
HD-Urban-V1,3Bed,6,19.92,night,162,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.836,0.689344,4,10.623825,6.14638,1.68,0.0,6.14638,-2.264224,0.388321
Roadside-V1,1Bed,3,39.94,night,90,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.653,0.383879,2,21.921929,16.453357,1.68,0.0,16.453357,6.539026,0.360629
HD-Urban-V0,2Bed,6,24.44,night,126,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.291,0.715821,3,12.602841,8.024193,1.68,0.0,8.024193,0.520894,0.365642
HD-Urban-V1,3Bed,3,20.93,night,162,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.489,0.778823,4,12.518976,6.089486,2.24,4.2,1.273906,-11.56985,0.276471
Roadside-V3,1Bed,6,61.05,day,90,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.262,1.05253,1,21.646683,34.346964,2.24,4.2,29.55154,19.36295,0.387259
HD-Urban-V1,3Bed,6,19.92,night,162,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.836,0.689344,4,11.494573,6.0206,2.24,4.2,1.24855,-7.145132,0.388321
Roadside-V1,1Bed,3,39.94,night,90,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.653,0.383879,2,23.097092,16.010572,2.24,4.2,11.597849,4.382122,0.317491
HD-Urban-V0,2Bed,6,24.44,night,126,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.291,0.715821,3,13.580703,7.479695,2.24,4.2,4.031751,0.155441,0.358333
HD-Urban-V1,3Bed,3,20.93,night,162,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.489,0.778823,4,10.682215,6.706169,1.44,6.4,1.758385,-11.062826,0.276471
Roadside-V3,1Bed,6,61.05,day,90,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.262,1.05253,1,19.783298,35.128028,1.44,6.4,30.22958,20.021159,0.400423
HD-Urban-V1,3Bed,6,19.92,night,162,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.836,0.689344,4,10.081479,6.289206,1.44,6.4,1.482527,-6.95103,0.388321
Roadside-V1,1Bed,3,39.94,night,90,"Window: Single Pane Glass and Plaster on Masonry; Window: Insulated Glazing Unit and Wood Paneling; Door: Laminated Glass Door and Acoustic Plaster; Wall: Fiberglass Board; Wall: Concrete Block (Coarse); Wall: Wood Paneling; Floor: Vinyl Tile; Floor: Thin Carpet on Concrete; Ceiling: Plywood 12mm Thick Perforated 5mm Diameter Holes with 60mm Thick Fibreglass Between Mounting Battens; Ceiling: Mineral Wool Tiles, Glued/Screwed to Soffit",22.653,0.383879,2,21.140082,16.76321,1.44,6.4,12.172375,4.560574,0.32106
HD-Urban-V0,2Bed,6,24.44,night,126,"Window: Glazed Ceramic Tile and Plaster on Masonry; Window: Glass Block and Gypsum Board; Window: Large Pane Glass and Plaster with Wallpaper Backing; Door: Plywood Door and Gypsum Board; Wall: Concrete Block (Coarse); Wall: Plaster on Masonry; Wall: Unpainted Brick; Wall: Plaster on Masonry; Floor: Cork Floor Tiles; Floor: Medium Pile Carpet; Floor: Cork Floor Tiles; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath); Ceiling: 12% Perforated Plaster Tiles with Absorbent Felt, 200mm Ceiling Void",24.291,0.715821,3,11.97375,8.404323,1.44,6.4,4.688148,0.197024,0.359165
HD-Urban-V1,3Bed,3,20.93,night,162,"Window: Wired Glass and Painted Brick; Window: Small Pane Glass and Acoustic Plaster; Window: Small Pane Glass and Plaster on Masonry; Window: Large Pane Glass and Plaster on Masonry; Door: Plywood Door and Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Concrete Block (Painted); Wall: Unpainted Brick; Wall: Plaster with Wallpaper Backing; Wall: Painted Brick; Floor: Wood Parquet; Floor: Wood Parquet; Floor: Thick Pile Carpet; Floor: Marble; Ceiling: Metal Deck (Perforated Channels, 75mm Batts); Ceiling: Metal Ceiling, 32.5% Perforated, Backed by 30mm Rockwool; Ceiling: Metal Deck (Perforated Channels, 25mm Batts); Ceiling: Wood Tongue-and-Groove Roof Decking",33.489,0.778823,4,10.232933,6.943834,1.04,2.4,2.168593,-10.540228,0.276471
Roadside-V3,1Bed,6,61.05,day,90,"Window: Small Pane Glass and Gypsum Board; Door: Solid Wood Door and Wood Paneling; Wall: Painted Brick; Wall: Wood Paneling; Wall: Gypsum Board; Wall: Plaster on Masonry; Floor: Marble; Floor: Wood Flooring on Joists; Ceiling: 100mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing; Ceiling: 75mm Woodwool Fixed Directly to Concrete, Pre-Screeded Surface Facing Backing",8.262,1.05253,1,19.321721,35.332902,1.04,2.4,30.563926,20.34678,0.406936
HD-Urban-V1,3Bed,6,19.92,night,162,"Window: Small Pane Glass and Acoustic Plaster; Window: Frosted Glass and Concrete Block (Coarse); Window: Single Pane Glass and Concrete Block (Coarse); Window: Laminated Glass and Concrete Block (Coarse); Door: Laminated Glass Door and Gypsum Board; Wall: Gypsum Board; Wall: Wood Paneling; Wall: Painted Brick; Wall: Concrete Block (Painted); Wall: Fiberglass Board; Floor: Thin Carpet on Wood; Floor: Terrazzo; Floor: Vinyl Tile; Floor: Terrazzo; Ceiling: Mineral Wool Tiles, 180mm Airspace; Ceiling: 0.8mm Unperforated Metal Panels Backed with 25mm Thick Resin Bonded Fibreglass; Ceiling: Plaster Decorative Panels, Ceilings; Ceiling: Plaster (Gypsum or Lime, Rough Finish or Timber Lath)",37.836,0.689344,4,9.760714,6.433181,1.04,0.0,6.433181,-2.019529,0.388321
